,call_type,max_mem,typicality,animal_ID,colony
0,sc,0.7267329410863431,0.5984523533350867,278.0,boffin
1,co,0.7141808703977319,0.6050853177520574,278.0,boffin
2,ph,0.591461990338549,0.4511678660824933,278.0,boffin
3,sq,0.6481413895604837,0.534116495268139,278.0,boffin
4,ch,0.7736106679496063,0.6934253568508335,278.0,boffin
5,other,0.6122943594891768,0.46923896204712545,278.0,boffin
6,sc,0.7264035751135508,0.6205633293657087,279.0,boffin
7,co,0.7195873927556179,0.6205641759359665,279.0,boffin
8,ph,0.6422122451523629,0.5250188646346161,279.0,boffin
9,sq,0.7205159563543012,0.606762402626112,279.0,boffin
10,ch,0.8677381811750299,0.8112258111260726,279.0,boffin
11,other,0.6812102191182657,0.5677399251245192,279.0,boffin
12,sc,0.7446454096484613,0.630497354503187,280.0,boffin
13,co,0.5006108042439352,0.35836844135413953,280.0,boffin
14,ph,0.5646387558812692,0.44949240971817367,280.0,boffin
15,sq,0.7283462789081286,0.6402086215212552,280.0,boffin
16,ch,0.8327683294048439,0.7689976973682084,280.0,boffin
17,other,0.6618339058988827,0.5598398316570793,280.0,boffin
18,sc,0.7347240237734579,0.6379670501858936,281.0,boffin
19,co,0.6671252869307761,0.5561536465967136,281.0,boffin
20,ph,0.6179368862447573,0.4820122570666713,281.0,boffin
21,sq,0.6654528970366154,0.5492498341808395,281.0,boffin
22,ch,0.7739719988510146,0.6884805275943565,281.0,boffin
23,other,0.5776433792478366,0.43832213384201235,281.0,boffin
24,sc,0.780028277727333,0.6737426816648641,282.0,boffin
25,co,0.761229181195714,0.6771502787392171,282.0,boffin
26,ph,0.6219343053955069,0.48720256782756194,282.0,boffin
27,sq,0.6992681103480055,0.5769109011797965,282.0,boffin
28,ch,0.7559956641682348,0.6667050731605243,282.0,boffin
29,other,0.6239388563142186,0.49302732876669414,282.0,boffin
30,sc,0.6800374364284092,0.5357652871902814,283.0,boffin
31,co,0.6816482634561325,0.5853033582819285,283.0,boffin
32,ph,0.48503388928086094,0.336355341211569,283.0,boffin
33,sq,0.7216770129044521,0.6177749490688429,283.0,boffin
34,ch,0.848098920211735,0.7894525012593699,283.0,boffin
35,other,0.6885817405316231,0.5753983620093546,283.0,boffin
36,sc,0.7009160496331968,0.5857724534517506,284.0,boffin
37,co,0.6930523976658959,0.5882088427654719,284.0,boffin
38,ph,0.6565494583935355,0.5299871218664156,284.0,boffin
39,sq,0.7024799915084986,0.6004254348438082,284.0,boffin
40,ch,0.8137466020742656,0.7436025085982778,284.0,boffin
41,other,0.6811635275283916,0.5599069950991719,284.0,boffin
42,sc,0.7375336363739834,0.6228699552190111,285.0,boffin
43,co,0.6792212630224276,0.5775377903217287,285.0,boffin
44,ph,0.5617370359952426,0.43687949084108463,285.0,boffin
45,sq,0.7607504607377485,0.6722044029796684,285.0,boffin
46,ch,0.8142089742665434,0.7534355863390518,285.0,boffin
47,other,0.7565964736662015,0.6674946345208077,285.0,boffin
48,sc,0.79925131493768,0.7295436516485475,0284,boffin
49,co,0.6894477293679169,0.5929927305986509,0284,boffin
50,ph,0.5611357580114705,0.42594718052961167,0284,boffin
51,sq,0.7200762743446275,0.6080024376705631,0284,boffin
52,ch,0.8686988057374259,0.8114926505948851,0284,boffin
53,other,0.631367111593644,0.486750564623132,0284,boffin
54,sc,0.7709690771455682,0.67604965864355,0285,boffin
55,co,0.717903878049275,0.6303500407184505,0285,boffin
56,ph,0.6203530998160394,0.5103510142129519,0285,boffin
57,sq,0.6905826182151706,0.5721944141780616,0285,boffin
58,ch,0.8746795564677748,0.8148278354622787,0285,boffin
59,other,0.6892691026749073,0.568826655855758,0285,boffin
60,sc,0.7234385063591837,0.6230216607336817,0278,boffin
61,co,0.6759668122177168,0.5581925761077602,0278,boffin
62,ph,0.6650631785229972,0.5540246389588254,0278,boffin
63,sq,0.7024658498385555,0.5895025771559022,0278,boffin
64,ch,0.8893147074485316,0.8459259099701705,0278,boffin
65,other,0.6778371443059156,0.5729538972544927,0278,boffin
66,sc,0.735475580969235,0.6412480641826084,0279,boffin
67,co,0.6846502067762026,0.5851705575748962,0279,boffin
68,ph,0.6000566455586359,0.45394382108121306,0279,boffin
69,sq,0.7348900695559399,0.6226921649227711,0279,boffin
70,ch,0.78008645337726,0.6956726677308666,0279,boffin
71,other,0.66166187678019,0.5286455419757957,0279,boffin
72,sc,0.6168197368050634,0.46543096589550154,0280,boffin
73,co,0.4863437065439847,0.34391574291615934,0280,boffin
74,ph,0.5426280002417861,0.40954222288385295,0280,boffin
75,sq,0.7971269776991811,0.7232062925492344,0280,boffin
76,ch,0.8455572490624851,0.7861621064870568,0280,boffin
77,other,0.7246498291407046,0.6304931322927508,0280,boffin
78,sc,0.8223553500688416,0.7441642200391709,0281,boffin
79,co,0.6636265387129705,0.5483891994328634,0281,boffin
80,ph,0.5874599300322036,0.4632685717923618,0281,boffin
81,sq,0.7157669034755947,0.5970449393706061,0281,boffin
82,ch,0.799609929035543,0.7197880242376271,0281,boffin
83,other,0.6851430371871331,0.5742876486962921,0281,boffin
84,sc,0.7108180334498626,0.5855387693967484,0282,boffin
85,co,0.661896239916256,0.5509994652391522,0282,boffin
86,ph,0.6073250743374005,0.46838271912066376,0282,boffin
87,sq,0.6717632483963851,0.560954201129887,0282,boffin
88,ch,0.7169487962525833,0.6254072276957934,0282,boffin
89,other,0.5932654364504031,0.43253603828050874,0282,boffin
90,sc,0.6542816459621005,0.5106184317368333,0283,boffin
91,co,0.6958634978195283,0.5964269381340666,0283,boffin
92,ph,0.5081563390423954,0.3356725234490106,0283,boffin
93,sq,0.6432528753772824,0.5103333447616304,0283,boffin
94,ch,0.8063753102792338,0.7185271595929603,0283,boffin
95,other,0.6606898012339694,0.5352571406498466,0283,boffin
96,sc,0.6013255927385172,0.48590119009918836,0000,boffin
97,co,0.8383364980282695,0.7492689925780791,0000,boffin
98,ph,0.7287023951551895,0.636255866506592,0000,boffin
99,sq,0.6689958483580029,0.5347143768861646,0000,boffin
100,ch,0.6549845498466061,0.48951581592708737,0000,boffin
101,other,0.36064969589820506,0.17766747809906935,0000,boffin
102,co,0.8107998692431566,0.746425973474763,5913,lannister
103,ph,0.5120669090377683,0.32704209646266974,5913,lannister
104,sq,0.7938056742762503,0.7252733483545201,5913,lannister
105,ch,0.9069011050981844,0.8638501647563096,5913,lannister
106,other,0.5550350052877546,0.38895754816455425,5913,lannister
107,co,0.7692315005156685,0.695459221863857,5914,lannister
108,ph,0.5633022204136895,0.4047338993604052,5914,lannister
109,sq,0.8431646989847089,0.7928258864928308,5914,lannister
110,ch,0.9426501304740976,0.9174239736940394,5914,lannister
111,other,0.5408150301840039,0.37393395646560174,5914,lannister
112,sc,0.827504271263559,0.7513810022651438,5915,lannister
113,co,0.7057199916463274,0.6146162724873073,5915,lannister
114,ph,0.6210286480914728,0.4692717161206527,5915,lannister
115,sq,0.7797916144668198,0.7004588989675143,5915,lannister
116,ch,0.8942912954071015,0.8492410755136874,5915,lannister
117,other,0.5830490604927304,0.4212723074284394,5915,lannister
118,sc,0.8088529000514351,0.721851761921057,5917,lannister
119,co,0.7795492687639051,0.7101333647499811,5917,lannister
120,ph,0.6819912346262821,0.5691132731624806,5917,lannister
121,sq,0.8162971828897343,0.7532221549478885,5917,lannister
122,ch,0.9240714957038656,0.8927806905614056,5917,lannister
123,other,0.6213994045408158,0.47508436434130663,5917,lannister
124,sc,0.9524910940262532,0.9238224612032233,5918,lannister
125,co,0.7517379206142812,0.6717031463709661,5918,lannister
126,ph,0.5233627790936916,0.34975882117563034,5918,lannister
127,sq,0.8134179978494692,0.7512299186069686,5918,lannister
128,ch,0.924629150019553,0.8926441997146835,5918,lannister
129,other,0.5789843417604473,0.42267472136317485,5918,lannister
130,sc,0.6644409584077843,0.5784702386950399,5919,lannister
131,co,0.6591093410424005,0.5576222295220833,5919,lannister
132,ph,0.5105015326090157,0.3642074454282934,5919,lannister
133,sq,0.808582467879997,0.7414885790572805,5919,lannister
134,ch,0.8980405258153504,0.857716223687477,5919,lannister
135,other,0.576436958846731,0.42550813172061674,5919,lannister
136,sc,0.657807168930906,0.5415376495892649,na,lannister
137,co,0.735774743220242,0.6528585080557319,na,lannister
138,ph,0.5260490715426487,0.37435732057311816,na,lannister
139,sq,0.7656073889711992,0.6884450529272191,na,lannister
140,ch,0.8590178706312538,0.8049620366249121,na,lannister
141,other,0.545391330597095,0.37038205845939864,na,lannister
142,co,0.6808852483018542,0.5844144424347385,5912,lannister
143,ph,0.6177835568208261,0.48632690284393254,5912,lannister
144,sq,0.8380884609971831,0.7858499348773331,5912,lannister
145,ch,0.9357306637487096,0.9092886616399588,5912,lannister
146,other,0.6476055266816323,0.5259092535566949,5912,lannister
147,co,0.7710532641655446,0.6802919430171248,5916,lannister
148,ph,0.5937164668617341,0.4405481095648446,5916,lannister
149,sq,0.9720598401949214,0.9630237970130487,5916,lannister
150,ch,0.9697459250872238,0.956035340437561,5916,lannister
151,other,0.5749939104318675,0.4391830465209609,5916,lannister
152,sc,0.8086581906262614,0.7202241722259924,0409,boffin_2
153,co,0.714764727946301,0.6128755973782344,0409,boffin_2
154,ph,0.6870250427976785,0.5676105579343032,0409,boffin_2
155,sq,0.8056017891485698,0.7226758997880546,0409,boffin_2
156,ch,0.8485636025002065,0.7907168730569137,0409,boffin_2
157,other,0.5994931898280322,0.4177285857828375,0409,boffin_2
158,sc,0.8314615094459856,0.7607919880487354,0411,boffin_2
159,co,0.7063646951303191,0.6020324162572097,0411,boffin_2
160,ph,0.6036766971204285,0.47695206340563084,0411,boffin_2
161,sq,0.7890993540248245,0.7031077288046179,0411,boffin_2
162,ch,0.8046099732736913,0.7290601579777203,0411,boffin_2
163,other,0.6294927528353588,0.4967209423462812,0411,boffin_2
164,sc,0.7296174500515661,0.6312410613414757,0412,boffin_2
165,co,0.709171259329354,0.611430592238912,0412,boffin_2
166,ph,0.6645073149595923,0.5623670511602621,0412,boffin_2
167,sq,0.7365742141804444,0.6333678501107526,0412,boffin_2
168,ch,0.827860243305426,0.7667602044337424,0412,boffin_2
169,other,0.6939027470912191,0.5388359964559961,0412,boffin_2
170,sc,0.7711276459458052,0.6678477844093711,0413,boffin_2
171,co,0.6844934923938705,0.5774927389441356,0413,boffin_2
172,ph,0.618349278485202,0.48229421452966614,0413,boffin_2
173,sq,0.7245295335069761,0.6120348339299622,0413,boffin_2
174,ch,0.8148709369864848,0.7450605810968056,0413,boffin_2
175,other,0.5499108780727844,0.4186955536454559,0413,boffin_2
176,sc,0.7438400999512192,0.6505247943240715,0415,boffin_2
177,co,0.6917322658147228,0.5804266748248992,0415,boffin_2
178,ph,0.6535570124104038,0.530267589919211,0415,boffin_2
179,sq,0.7385215658922637,0.6393513562479421,0415,boffin_2
180,ch,0.803487309629968,0.7259496999081065,0415,boffin_2
181,other,0.639006309722404,0.4649486757523708,0415,boffin_2
182,sc,0.683549489996209,0.5681590477869434,0416,boffin_2
183,co,0.6853034916363494,0.5831749919909253,0416,boffin_2
184,ph,0.6045068797171405,0.449639355686028,0416,boffin_2
185,sq,0.7478705283803877,0.6419940665448326,0416,boffin_2
186,ch,0.8483796997124518,0.7851156007720059,0416,boffin_2
187,other,0.6771639381990806,0.5894169664880892,0416,boffin_2
188,sc,0.8553022172281807,0.7951763308064022,0417,boffin_2
189,co,0.7188079250339364,0.6215330639797999,0417,boffin_2
190,ph,0.6376004727595155,0.5098285516456789,0417,boffin_2
191,sq,0.7393847981460031,0.6417987907207373,0417,boffin_2
192,ch,0.8432504497973501,0.7839049173292197,0417,boffin_2
193,other,0.7682018047390096,0.6868281073346278,0417,boffin_2
194,co,0.6835927088155838,0.5771882341805399,0410,boffin_2
195,ph,0.46793572815310247,0.31698911129568597,0410,boffin_2
196,sq,0.7683702412168629,0.6828650990511042,0410,boffin_2
197,ch,0.9044742770522007,0.8696132459661484,0410,boffin_2
198,other,0.8801154886289294,0.8486908200282496,0410,boffin_2
199,co,0.5648128121937314,0.4258693857076884,0414,boffin_2
200,ph,0.5390719206196168,0.3809660139719768,0414,boffin_2
201,sq,0.6895293379803842,0.5648736862033605,0414,boffin_2
202,co,0.6645225976009642,0.5577151877420228,0418,boffin_2
203,ph,0.4876130894786472,0.32223097631329883,0418,boffin_2
204,sq,0.7318538061114648,0.6227530691942776,0418,boffin_2
205,ch,0.8484151807604566,0.7728652725061357,0418,boffin_2
206,other,0.6099529527630376,0.47459566061618014,0418,boffin_2
207,sc,0.7372757210684885,0.616852474802652,413,boffin_2
208,co,0.7585475289950745,0.6854156531306913,413,boffin_2
209,ph,0.6974868289321186,0.5940277566720843,413,boffin_2
210,ch,0.682119354319582,0.6064737159698317,413,boffin_2
211,other,0.7150839582317143,0.6279761756683742,413,boffin_2
212,sc,0.7904283164129564,0.6983100877941697,415,boffin_2
213,co,0.6627134574442252,0.5496461145483323,415,boffin_2
214,ph,0.9234163552734651,0.8869884528668024,415,boffin_2
215,sc,0.6518590196821277,0.5237217608697624,416,boffin_2
216,co,0.5917419560924194,0.47414823528181466,416,boffin_2
217,ph,0.4391771103699974,0.3005060396222641,416,boffin_2
218,sq,0.6691412868325974,0.5309239717712949,416,boffin_2
219,ch,0.6701607965262837,0.589366280336307,416,boffin_2
220,other,0.6625714578343962,0.4880585111551276,416,boffin_2
221,sc,0.7854739457675847,0.7047794875013914,417,boffin_2
222,co,0.6715641218355641,0.5662830597197167,417,boffin_2
223,ph,0.47703721080242534,0.3445531149979564,417,boffin_2
224,sq,0.9276563957153846,0.8860455477878053,417,boffin_2
225,other,0.7506899392457261,0.6929176577432545,417,boffin_2
226,sc,0.7934315041493236,0.7185638199740184,418,boffin_2
227,co,0.6385415601395678,0.5431377675409127,418,boffin_2
228,ph,0.7589919077874563,0.6729630056140393,418,boffin_2
229,sq,0.7885097267142611,0.7358723085930834,418,boffin_2
230,sc,0.7844495111759476,0.6771486892121448,409,boffin_2
231,co,0.5113258477084478,0.3692849644793459,409,boffin_2
232,ph,1.0,1.0,409,boffin_2
233,sq,0.5947736133256981,0.49497303074885207,409,boffin_2
234,sc,0.7362570973063612,0.6340841014110075,411,boffin_2
235,sq,0.886385016791803,0.8377252348063859,411,boffin_2
236,sc,0.617244545508028,0.5007969235098225,412,boffin_2
